0.121	0.121	1
0.211	0.211	2
0.219	0.219	3
0.530	0.530	4
0.974	0.974	5
1.587	1.587	6
1.788	1.788	7
1.811	1.811	8
1.845	1.845	9
1.917	1.917	10
1.959	1.959	11
2.189	2.189	12
2.247	2.247	13
2.338	2.338	14
2.547	2.547	15
2.593	2.593	16
3.047	3.047	17
3.081	3.081	18
3.083	3.083	19
3.262	3.262	20
3.499	3.499	21
4.157	4.157	22
5.885	5.885	23
6.039	6.039	24
6.089	6.089	25
6.442	6.442	26
6.604	6.604	27
6.766	6.766	28
6.830	6.830	29
6.878	6.878	30
7.336	7.336	31
7.476	7.476	32
7.952	7.952	33
8.869	8.869	34
10.088	10.088	35
10.653	10.653	36
10.699	10.699	37
10.835	10.835	38
11.194	11.194	39
11.275	11.275	40
11.412	11.412	41
11.616	11.616	42
11.672	11.672	43
12.086	12.086	44
12.496	12.496	45
12.583	12.583	46
12.742	12.742	47
13.218	13.218	48
13.327	13.327	49
13.484	13.484	50
13.768	13.768	51
13.800	13.800	52
13.833	13.833	53
13.879	13.879	54
14.139	14.139	55
14.221	14.221	56
14.411	14.411	57
14.700	14.700	58
15.229	15.229	59
15.364	15.364	60
16.085	16.085	61
16.366	16.366	62
16.381	16.381	63
16.806	16.806	64
16.821	16.821	65
16.836	16.836	66
16.931	16.931	67
17.249	17.249	68
17.305	17.305	69
17.356	17.356	70
17.415	17.415	71
17.457	17.457	72
17.565	17.565	73
17.713	17.713	74
17.905	17.905	75
18.040	18.040	76
18.296	18.296	77
18.785	18.785	78
19.305	19.305	79
20.218	20.218	80
21.025	21.025	81
21.714	21.714	82
21.812	21.812	83
21.997	21.997	84
22.129	22.129	85
23.460	23.460	86
23.848	23.848	87
24.003	24.003	88
24.858	24.858	89
25.294	25.294	90
26.226	26.226	91
26.293	26.293	92
27.154	27.154	93
27.246	27.246	94
27.297	27.297	95
27.520	27.520	96
27.708	27.708	97
28.117	28.117	98
28.224	28.224	99
28.250	28.250	100
28.528	28.528	101
30.255	30.255	102
30.348	30.348	103
30.591	30.591	104
30.688	30.688	105
30.800	30.800	106
30.847	30.847	107
31.000	31.000	108
31.557	31.557	109
32.431	32.431	110
32.847	32.847	111
33.043	33.043	112
33.241	33.241	113
33.323	33.323	114
33.574	33.574	115
33.834	33.834	116
34.375	34.375	117
34.484	34.484	118
